measurement_id,species_id,var,val
1,1,Sepal.Length,5.1
1,1,Sepal.Width,3.5
1,1,Petal.Length,1.4
1,1,Petal.Width,0.2
2,1,Sepal.Length,4.9
2,1,Sepal.Width,3
2,1,Petal.Length,1.4
2,1,Petal.Width,0.2
3,1,Sepal.Length,4.7
3,1,Sepal.Width,3.2
3,1,Petal.Length,1.3
3,1,Petal.Width,0.2
4,1,Sepal.Length,4.6
4,1,Sepal.Width,3.1
4,1,Petal.Length,1.5
4,1,Petal.Width,0.2
5,1,Sepal.Length,5
5,1,Sepal.Width,3.6
5,1,Petal.Length,1.4
5,1,Petal.Width,0.2
6,1,Sepal.Length,5.4
6,1,Sepal.Width,3.9
6,1,Petal.Length,1.7
6,1,Petal.Width,0.4
7,1,Sepal.Length,4.6
7,1,Sepal.Width,3.4
7,1,Petal.Length,1.4
7,1,Petal.Width,0.3
8,1,Sepal.Length,5
8,1,Sepal.Width,3.4
8,1,Petal.Length,1.5
8,1,Petal.Width,0.2
9,1,Sepal.Length,4.4
9,1,Sepal.Width,2.9
9,1,Petal.Length,1.4
9,1,Petal.Width,0.2
10,1,Sepal.Length,4.9
10,1,Sepal.Width,3.1
10,1,Petal.Length,1.5
10,1,Petal.Width,0.1
11,1,Sepal.Length,5.4
11,1,Sepal.Width,3.7
11,1,Petal.Length,1.5
11,1,Petal.Width,0.2
12,1,Sepal.Length,4.8
12,1,Sepal.Width,3.4
12,1,Petal.Length,1.6
12,1,Petal.Width,0.2
13,1,Sepal.Length,4.8
13,1,Sepal.Width,3
13,1,Petal.Length,1.4
13,1,Petal.Width,0.1
14,1,Sepal.Length,4.3
14,1,Sepal.Width,3
14,1,Petal.Length,1.1
14,1,Petal.Width,0.1
15,1,Sepal.Length,5.8
15,1,Sepal.Width,4
15,1,Petal.Length,1.2
15,1,Petal.Width,0.2
16,1,Sepal.Length,5.7
16,1,Sepal.Width,4.4
16,1,Petal.Length,1.5
16,1,Petal.Width,0.4
17,1,Sepal.Length,5.4
17,1,Sepal.Width,3.9
17,1,Petal.Length,1.3
17,1,Petal.Width,0.4
18,1,Sepal.Length,5.1
18,1,Sepal.Width,3.5
18,1,Petal.Length,1.4
18,1,Petal.Width,0.3
19,1,Sepal.Length,5.7
19,1,Sepal.Width,3.8
19,1,Petal.Length,1.7
19,1,Petal.Width,0.3
20,1,Sepal.Length,5.1
20,1,Sepal.Width,3.8
20,1,Petal.Length,1.5
20,1,Petal.Width,0.3
21,1,Sepal.Length,5.4
21,1,Sepal.Width,3.4
21,1,Petal.Length,1.7
21,1,Petal.Width,0.2
22,1,Sepal.Length,5.1
22,1,Sepal.Width,3.7
22,1,Petal.Length,1.5
22,1,Petal.Width,0.4
23,1,Sepal.Length,4.6
23,1,Sepal.Width,3.6
23,1,Petal.Length,1
23,1,Petal.Width,0.2
24,1,Sepal.Length,5.1
24,1,Sepal.Width,3.3
24,1,Petal.Length,1.7
24,1,Petal.Width,0.5
25,1,Sepal.Length,4.8
25,1,Sepal.Width,3.4
25,1,Petal.Length,1.9
25,1,Petal.Width,0.2
26,1,Sepal.Length,5
26,1,Sepal.Width,3
26,1,Petal.Length,1.6
26,1,Petal.Width,0.2
27,1,Sepal.Length,5
27,1,Sepal.Width,3.4
27,1,Petal.Length,1.6
27,1,Petal.Width,0.4
28,1,Sepal.Length,5.2
28,1,Sepal.Width,3.5
28,1,Petal.Length,1.5
28,1,Petal.Width,0.2
29,1,Sepal.Length,5.2
29,1,Sepal.Width,3.4
29,1,Petal.Length,1.4
29,1,Petal.Width,0.2
30,1,Sepal.Length,4.7
30,1,Sepal.Width,3.2
30,1,Petal.Length,1.6
30,1,Petal.Width,0.2
31,1,Sepal.Length,4.8
31,1,Sepal.Width,3.1
31,1,Petal.Length,1.6
31,1,Petal.Width,0.2
32,1,Sepal.Length,5.4
32,1,Sepal.Width,3.4
32,1,Petal.Length,1.5
32,1,Petal.Width,0.4
33,1,Sepal.Length,5.2
33,1,Sepal.Width,4.1
33,1,Petal.Length,1.5
33,1,Petal.Width,0.1
34,1,Sepal.Length,5.5
34,1,Sepal.Width,4.2
34,1,Petal.Length,1.4
34,1,Petal.Width,0.2
35,1,Sepal.Length,4.9
35,1,Sepal.Width,3.1
35,1,Petal.Length,1.5
35,1,Petal.Width,0.2
36,1,Sepal.Length,5
36,1,Sepal.Width,3.2
36,1,Petal.Length,1.2
36,1,Petal.Width,0.2
37,1,Sepal.Length,5.5
37,1,Sepal.Width,3.5
37,1,Petal.Length,1.3
37,1,Petal.Width,0.2
38,1,Sepal.Length,4.9
38,1,Sepal.Width,3.6
